Loading cs402-mpi
  Loading requirement: gcc9
0 t:0.0103279, del_t:0.0103279, SOR iters:100, res:1.063466e-01, bcells:0  imax 660 jmax 120 itermax 100 rank 0
0 t:0.0103279, del_t:0.0103279, SOR iters:100, res:1.063466e-01, bcells:0  imax 660 jmax 120 itermax 100 rank 1
0 t:0.0103279, del_t:0.0103279, SOR iters:100, res:1.063466e-01, bcells:0  imax 660 jmax 120 itermax 100 rank 2
0 t:0.0103279, del_t:0.0103279, SOR iters:100, res:1.063466e-01, bcells:0  imax 660 jmax 120 itermax 100 rank 3
1 t:0.0206556, del_t:0.0103276, SOR iters:100, res:1.031793e-01, bcells:0  imax 660 jmax 120 itermax 100 rank 0
1 t:0.0206556, del_t:0.0103276, SOR iters:100, res:1.031793e-01, bcells:0  imax 660 jmax 120 itermax 100 rank 1
1 t:0.0206556, del_t:0.0103276, SOR iters:100, res:1.031793e-01, bcells:0  imax 660 jmax 120 itermax 100 rank 2
1 t:0.0206556, del_t:0.0103276, SOR iters:100, res:1.031793e-01, bcells:0  imax 660 jmax 120 itermax 100 rank 3
2 t:0.030983, del_t:0.0103274, SOR iters:100, res:9.941435e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
2 t:0.030983, del_t:0.0103274, SOR iters:100, res:9.941435e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
2 t:0.030983, del_t:0.0103274, SOR iters:100, res:9.941435e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
2 t:0.030983, del_t:0.0103274, SOR iters:100, res:9.941435e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
3 t:0.0413101, del_t:0.0103272, SOR iters:100, res:9.512763e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
3 t:0.0413101, del_t:0.0103272, SOR iters:100, res:9.512763e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
3 t:0.0413101, del_t:0.0103272, SOR iters:100, res:9.512763e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
3 t:0.0413101, del_t:0.0103272, SOR iters:100, res:9.512763e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
4 t:0.0516371, del_t:0.010327, SOR iters:100, res:9.030799e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
4 t:0.0516371, del_t:0.010327, SOR iters:100, res:9.030799e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
4 t:0.0516371, del_t:0.010327, SOR iters:100, res:9.030799e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
4 t:0.0516371, del_t:0.010327, SOR iters:100, res:9.030799e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
5 t:0.0619638, del_t:0.0103268, SOR iters:100, res:8.504400e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
5 t:0.0619638, del_t:0.0103268, SOR iters:100, res:8.504400e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
5 t:0.0619638, del_t:0.0103268, SOR iters:100, res:8.504400e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
5 t:0.0619638, del_t:0.0103268, SOR iters:100, res:8.504400e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
6 t:0.0722904, del_t:0.0103266, SOR iters:100, res:7.934549e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
6 t:0.0722904, del_t:0.0103266, SOR iters:100, res:7.934549e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
6 t:0.0722904, del_t:0.0103266, SOR iters:100, res:7.934549e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
6 t:0.0722904, del_t:0.0103266, SOR iters:100, res:7.934549e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
7 t:0.0826168, del_t:0.0103264, SOR iters:100, res:7.327913e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
7 t:0.0826168, del_t:0.0103264, SOR iters:100, res:7.327913e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
7 t:0.0826168, del_t:0.0103264, SOR iters:100, res:7.327913e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
7 t:0.0826168, del_t:0.0103264, SOR iters:100, res:7.327913e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
8 t:0.0929431, del_t:0.0103263, SOR iters:100, res:6.690490e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
8 t:0.0929431, del_t:0.0103263, SOR iters:100, res:6.690490e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
8 t:0.0929431, del_t:0.0103263, SOR iters:100, res:6.690490e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
8 t:0.0929431, del_t:0.0103263, SOR iters:100, res:6.690490e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
9 t:0.103269, del_t:0.0103261, SOR iters:100, res:6.027213e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
9 t:0.103269, del_t:0.0103261, SOR iters:100, res:6.027213e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
9 t:0.103269, del_t:0.0103261, SOR iters:100, res:6.027213e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
9 t:0.103269, del_t:0.0103261, SOR iters:100, res:6.027213e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
10 t:0.113595, del_t:0.010326, SOR iters:100, res:5.344013e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
10 t:0.113595, del_t:0.010326, SOR iters:100, res:5.344013e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
10 t:0.113595, del_t:0.010326, SOR iters:100, res:5.344013e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
10 t:0.113595, del_t:0.010326, SOR iters:100, res:5.344013e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
11 t:0.123921, del_t:0.0103258, SOR iters:100, res:4.648253e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
11 t:0.123921, del_t:0.0103258, SOR iters:100, res:4.648253e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
11 t:0.123921, del_t:0.0103258, SOR iters:100, res:4.648253e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
11 t:0.123921, del_t:0.0103258, SOR iters:100, res:4.648253e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
12 t:0.134247, del_t:0.0103256, SOR iters:100, res:3.951922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
12 t:0.134247, del_t:0.0103256, SOR iters:100, res:3.951922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
12 t:0.134247, del_t:0.0103256, SOR iters:100, res:3.951922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
12 t:0.134247, del_t:0.0103256, SOR iters:100, res:3.951922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
13 t:0.144572, del_t:0.0103254, SOR iters:100, res:3.266922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
13 t:0.144572, del_t:0.0103254, SOR iters:100, res:3.266922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
13 t:0.144572, del_t:0.0103254, SOR iters:100, res:3.266922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
13 t:0.144572, del_t:0.0103254, SOR iters:100, res:3.266922e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
14 t:0.154897, del_t:0.0103253, SOR iters:100, res:2.615512e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
14 t:0.154897, del_t:0.0103253, SOR iters:100, res:2.615512e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
